id|districts_id|name
297|40|Bágala
298|45|San Pablo Nuevo
299|37|Santa Isabel
300|13|Valle de Aguas Arriba
301|14|Tobobé
302|63|Bahía Honda
303|47|Bastimentos
304|24|Obaldía
305|64|Las Huacas
306|5|Barnizal
307|26|Santa Cruz de Chinina
308|80|Cucunatí
309|20|Bajo Boquete
310|53|Boca Chica
311|40|Pedregal
312|29|Umaní
313|54|El Tejar
314|41|Rincón
315|13|Nance del Riscó
316|56|El Cristo
317|67|Cabuya
318|55|El Higo
319|45|Bijagual
320|29|Maraca
321|67|Buenos Aires
322|22|Río Hondo
323|41|Paja de Sombrero
324|17|San Martín
325|62|Bugaba
326|62|Santa Rosa
327|10|Boca de Cupe
328|42|La Raya de Santa María
329|67|Chicá
330|50|El Palmar
331|24|Hurtado
332|24|Santa Rita
333|57|Los Anastacios
334|54|Nuevo Mexico
335|71|Lajas Adentro
336|40|Tijeras
337|37|Palmira
338|43|Hato Pilón
339|45|Pedregal
340|20|Palmira
341|5|La Yeguada
342|63|Bajos de Güera
343|34|San Francisco
344|59|Zapotillo
345|15|El Empalme
346|57|Tinajas
347|52|Garrote
348|23|Gobea
349|50|El Copé
350|56|Tolé
351|15|Changuinola
352|82|Ijuicho
353|5|San José
354|1|Rambala
355|66|Manuel Ortega
356|28|Lídice
357|63|Macaracas
358|42|Canto del Llano
359|12|Progreso
360|22|Las Tablas Abajo
361|21|Llano Largo
362|24|Puerto Caimito
363|17|Las Mañanitas
364|38|San Juan
365|22|El Manantial
366|25|Pedasí
367|7|Pocrí
368|7|El Cristo
369|38|Sabanitas
370|22|El Cocal
371|22|La Tiza
372|42|San Martín de Porres
373|72|La Arena
374|21|La Villa de Los Santos
375|21|Santa Ana
376|22|Santo Domingo
377|73|La Pasera
378|24|Barrio Balboa
379|24|Barrio Colón
380|74|Pedro González
381|65|Rincón Hondo
382|38|Barrio Norte
383|38|Barrio Sur
384|49|Chiguirí Arriba
385|8|Catorce de Noviembre
386|63|La Mesa
387|45|Chiriquí
388|65|El Barrero
389|65|El Pájaro
390|5|El Potrero
391|60|Bisira
392|8|Las Huacas
393|67|Bejuco
394|28|La Trinidad
395|68|Belisario Frias
396|68|Belisario Porras
397|11|Santa Rita
398|17|Bella Vista
399|49|Cañaveral
400|2|Sambú
401|27|Tonosí
402|56|Bella Vista
403|12|Baco
404|17|Betania
405|47|Bocas del Toro
406|39|Llano Grande
407|48|Boca de Balsa
408|55|La Ermita
409|44|Jingurudó
410|2|Tucutí
411|10|Paya
412|52|Cacique
413|55|San José
414|83|Guariviara
415|71|Juay
416|72|Monagrillo
417|59|San Martín de Porres
418|71|Las Lajas
419|2|Camoganti
420|75|Remedios
421|40|Boquerón
